Компанија,Наслов,Опис
Агромеханика АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,Неревидиран биланс за успех за период од 01.01.2024 до 30.09.2024
Агромеханика АД Скопје,Други ценовно чувствителни информации,"Образложение 01,01-30,06.2024"
Агромеханика АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,
Адинг АД Скопје,Други ценовно чувствителни информации,"Образложение за настанатите значајни промени во неревидираниот, консолидираниот Биланс на успех за периодот 01.01.-30.09.2024 година."
Адинг АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,"Неревидиран, консолидиран Биланс на успех за периодот 01.01.-30.09.2024 година."
Адинг АД Скопје,Други ценовно чувствителни информации,"Образложение за настанатите значајни промени во неревидираниот, неконсолидираниот Биланс на успех за периодот 01.01.-30.09.2024 година."
Адинг АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,"Неревидиран, неконсолидиран Биланс на успех за периодот 01.01.-30.09.2024 година."
Адинг АД Скопје,Други ценовно чувствителни информации,"Со Одлука на УО бр.71/24 од 12.06.2024 година, дадена е согласност за задолжување на Друштвото и склучување на Анекс бр.2 кон Договорот за рамковен револвинг кредит-лимит со Комерцијална Банка АД Скопје под бр.02-100-3029/2 од 12.06.2024 година, со максимален износ од ЕУР-2.500.000,00 и рок на важност  до 18.07.2029 година."
Адинг АД Скопје,Други ценовно чувствителни информации,"Образложение за настанатите значајни промени во неревидираните, консолидираните Финансиски извештаи за периодот 01.01.2024-30.06.2024 година."
Адинг АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,"Неревидирани, консолидирани Финансиски извештаи за периодот 01.01.2024-30.06.2024 година."
Адинг АД Скопје,Други ценовно чувствителни информации,"Образложение за настанатите значајни промени во нревидираните, неконсолидираните Финансиски извештаи за периодот 01.01.2024-30.06.2024 година."
Адинг АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,"Неревидирани, неконсолидирани Финансиски извештаи за периодот 01.01.2024-30.06.2024 година."
Алкалоид АД Скопје,Други ценовно чувствителни информации,"АЛКАЛОИД АД Скопје со четири признанија: Најтранспарентно котирано друштво по избор на медиумите и по избор на пазарните учесници, Акција на годината и Добри ESG-практики"
Алкалоид АД Скопје,Други ценовно чувствителни информации,
Алкалоид АД Скопје,Други ценовно чувствителни информации,
Алкалоид АД Скопје,Други ценовно чувствителни информации,
Алкалоид АД Скопје,Други ценовно чувствителни информации,
Алкалоид АД Скопје,Други ценовно чувствителни информации,
Алкалоид АД Скопје,Други ценовно чувствителни информации,
Алкалоид АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,
Алкалоид АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,
Алкалоид АД Скопје,Други ценовно чувствителни информации,
Алкалоид АД Скопје,Други ценовно чувствителни информации,АЛКАЛОИД АД Скопје известува дека неревидираниот единечен и неревидираниот консолидиран Биланс на успех за периодот јануари - септември 2024 година ќе бидат објавени на ден 31.10.2024 година во 09:00 часот.
Алкалоид АД Скопје,Други ценовно чувствителни информации,АЛКАЛОИД АД Скопје вложува во истражувачко-развојна компанија во Јужна Кореја
Алкалоид АД Скопје,Други ценовно чувствителни информации,АЛКАЛОИД АД Скопје регистрираше ново друштво во Казахстан
Алкалоид АД Скопје,Други ценовно чувствителни информации,Образложение за остварените резултати Јануари - Јуни 2024
Алкалоид АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,Неревидирани консолидирани финансиски извештаи Јануари - Јуни 2024
Алкалоид АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,Неревидирани единечни финансиски извештаи Јануари - Јуни 2024
Алкалоид АД Скопје,Други ценовно чувствителни информации,"АЛКАЛОИД АД Скопје известува дека неревидираните единечни и консолидирани финансиски извештаи (Биланс на состојба, Биланс на успех, Извештај за паричниот тек и Извештај за промените во капиталот) за периодот јануари - јуни 2024 година ќе бидат објавени на 31.07.2024 година во 09:00 часот."
Ангропромет Тиквешанка АД Кавадарци,Неревидиран биланс на успех 01.01. - 30.09.,Неревидиран Биланс на успех   01.01-30.09
Ангропромет Тиквешанка АД Кавадарци,Други ценовно чувствителни информации,Образложение на биланс  на успех
Ангропромет Тиквешанка АД Кавадарци,Други ценовно чувствителни информации,Образложение на неревидиран финансиски извештај
Ангропромет Тиквешанка АД Кавадарци,Неревидирани финансиски извештаи 01.01. - 30.06.,Неревидирани финансиски извештаи
Аутомакедонија АД Скопје,Други ценовно чувствителни информации,Аутомакедонија АД Скопје известува дека во изминатиот период се стекнала со 200 хартии од вредност во Осигурителното брокерско друштво АМ БРОКЕР АД СКОПЈЕ.Со извршените трговски трансакции АУТОМАКЕДОНИЈА АД Скопје е сопственик на вкупно 400 хартии од вредност односно 80% од вкупниот број на хартии од вредност во АМ БРОКЕР АД СКОПЈЕ.
Аутомакедонија АД Скопје,Други ценовно чувствителни информации,"Согласно Глава 6 од Правилата за котација, известуваме за следната ценовно чувствителна информација Образложение кон консолидирани неревидирани финансиски извештаи за период 01.01.2024 - 30.09.2024"
Аутомакедонија АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,"Согласно Глава 6 од Правилата за котација, го објавуваме следниот финансиски извештај Консолидиран неревидиран финансиски извештај за период 01.01.2024 - 30.09.2024"
Аутомакедонија АД Скопје,Други ценовно чувствителни информации,АУТОМАКЕДОНИЈА АД Скопје го објавува oбразложението за работењето за периодот 01 - 09 месец 2024 година.
Аутомакедонија АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,"Согласно Глава 6 од Правилата за котација, го објавуваме следниот финансиски извештај: АУТОМАКЕДОНИЈА АД Скопје го објавува неревидираниот поединечен Биланс на успех за периодот 01 - 09 месец 2024 година."
Аутомакедонија АД Скопје,Други ценовно чувствителни информации,"Извештај за промена на сопственост на член на Управен одбор и лица со посебни одговорности и овластувања Согласно член 34, став 1, алинеја 7 од Правилата за котација на Македонската Берза за хартии од вредност АД Скопје, известуваме дека Членот на Управниот одбор и Генерален Директор на Аутомакедонија АД, г-дин Игор Илиевски, во изминатиот период се стекна со 400 акции од издавачот Аутомакедонија АД Скопје "
Аутомакедонија АД Скопје,Други ценовно чувствителни информации,Образложение за остварени резултати кон консолидираните неревидирани финансиски извештаи за период 01.01.2024-30.06.2024
Аутомакедонија АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,Неревидирани консолидирани финансиски извештаи за период 01.01.2024-30.06.2024
Аутомакедонија АД Скопје,Други ценовно чувствителни информации,
Аутомакедонија АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,
БИМ АД Свети Николе,Други ценовно чувствителни информации,БИМ а.д. Свети Николе го објавува Образложението за остварените резултати од работењето за периодот од 01.01- 30.09.2024 год.
БИМ АД Свети Николе,Неревидиран биланс на успех 01.01. - 30.09.,БИМ а.д. Свети Николе го објавува неревидираниот биланс на успех за периодот од 01.01 до 30.09.2024 год.
БИМ АД Свети Николе,Други ценовно чувствителни информации,БИМ а.д. Свети Николе го објавува Образложението за постигнатите резултати од работењето за периодот од 01.01.-30.06.2024 год.
БИМ АД Свети Николе,Неревидирани финансиски извештаи 01.01. - 30.06.,БИМ а.д. Свети Николе ги објавува неревидираните финансиски извештаи за периодот од 01.01.-30.06.2024 год.
БИМ АД Свети Николе,Откуп/продажба на сопствени акции,Откуп на сопствени акции
