Компанија,Средна оценка за сентимент,Рекомендација
Агромеханика АД Скопје,0.0,Sell
Адинг АД Скопје,0.0,Sell
Алкалоид АД Скопје,0.0,Sell
Ангропромет Тиквешанка АД Кавадарци,0.0,Sell
Аутомакедонија АД Скопје,0.0,Sell
БИМ АД Свети Николе,0.0,Sell
ВВ Тиквеш АД Кавадарци,0.0,Sell
Вабтек МЗТ АД Скопје,0.0,Sell
Ветекс АД Велес,0.0,Sell
Витаминка АД Прилеп,0.0,Sell
ГД Тиквеш АД Кавадарци,0.0,Sell
ГТЦ АД Скопје,0.0,Sell
Герас Цунев Конфекција АД Струмица,0.0,Sell
Герас Цунев Трговија АД Струмица,0.0,Sell
Гранит АД Скопје,0.0,Sell
Грозд АД Струмица,0.0,Sell
ДС Смитх АД Скопје,0.0,Sell
Дебарски бањи - Цапа АД Дебар,0.0,Sell
Димко Митрев АД Велес,0.0,Sell
Европа АД Скопје,0.0,Sell
ЖАС АД Скопје,0.0,Sell
Жито Лукс АД Скопје,0.0,Sell
Жито Полог АД Тетово,0.0,Sell
ЗК Пелагонија АД Битола,0.0,Sell
Интернешнел Хотелс АД Скопје,0.0,Sell
Интерпромет АД Тетово,0.0,Sell
Кланица со ладилник АД Струмица,0.0,Sell
Комерцијална Банка АД Скопје,0.0,Sell
Кристал 1923 АД Велес,0.0,Sell
Либерти АД Скопје,0.0,Sell
Лотарија на Македонија АД Скопје,0.0,Sell
МЗТ Пумпи АД Скопје,0.0,Sell
Македонија осигурување АД Скопје,0.0,Sell
Македонијатурист АД Скопје,0.0,Sell
Македонски Телеком АД Скопје,0.0,Sell
Макотекс АД Скопје,0.0,Sell
Макошпед АД Скопје,0.0,Sell
Макпетрол АД Скопје,0.0,Sell
Макпромет АД Штип,0.0,Sell
Макстил АД Скопје,0.0,Sell
Мермерен комбинат АД Прилеп,0.0,Sell
Мода АД Свети Николе,0.0,Sell
НЛБ Банка АД Скопје,0.0,Sell
Неметали Огражден АД Струмица,0.0,Sell
Нова стоковна куќа АД Струмица,0.0,Sell
ОИЛКО КДА Скопје,0.0,Sell
ОКТА АД Скопје,0.0,Sell
Оранжерии Хамзали АД Струмица,0.0,Sell
Патнички сообраќај - Транскоп АД Битола,0.0,Sell
"Пекабеско АД Кадино, Илинден",0.0,Sell
Пелистерка АД Скопје,0.0,Sell
Попова кула АД Демир Капија,0.0,Sell
Прилепска пиварница АД Прилеп,0.0,Sell
РЖ Економика АД Скопје,0.0,Sell
РЖ Интер-Трансшпед АД Скопје,0.0,Sell
РЖ Техничка контрола АД Скопје,0.0,Sell
РЖ Услуги АД Скопје,0.0,Sell
Раде Кончар - Апаратна техника АД Скопје,0.0,Sell
Реплек АД Скопје,0.0,Sell
Рудници Бањани АД Скопје,0.0,Sell
СН Осигурителен Брокер АД Битола,0.0,Sell
Сигурносно стакло АД Прилеп,0.0,Sell
Силекс АД Кратово,0.0,Sell
Скопски Пазар АД Скопје,0.0,Sell
Славеј АД Скопје,0.0,Sell
Современ дом АД Прилеп,0.0,Sell
Стокопромет АД Скопје,0.0,Sell
Стопанска банка АД Битола,0.0,Sell
Стопанска банка АД Скопје,0.0,Sell
Струмичко поле АД с. Василево,0.0,Sell
ТЕАЛ АД Тетово,0.0,Sell
ТТК Банка АД Скопје,0.0,Sell
Тетекс АД Тетово,0.0,Sell
Технокомерц АД Скопје,0.0,Sell
Трготекстил малопродажба АД Скопје,0.0,Sell
Триглав осигурување АД Скопје,0.0,Sell
Тутунски комбинат АД Прилеп,0.0,Sell
УНИ Банка АД Скопје,0.0,Sell
Уготур АД Скопје,0.0,Sell
ФЗЦ 11 Октомври АД Куманово,0.0,Sell
Фабрика Карпош АД Скопје,0.0,Sell
Факом АД Скопје,0.0,Sell
Фершпед АД Скопје,0.0,Sell
Фруктал Мак АД Скопје,0.0,Sell
Фустеларко Борец АД Битола,0.0,Sell
Хотели-Метропол АД Охрид,0.0,Sell
Цементарница УСЈЕ АД Скопје,0.0,Sell
Централна кооперативна банка АД Скопје,0.0,Sell
